id,fecha_creacion,prioridad,agente,fecha_asignacion,fecha_resolucion
12,2024-01-01 09:00,5,2,05:07:40,05:07:42
15,2024-01-01 08:00,5,3,05:07:40,05:07:42
26,2024-01-03 10:00,5,5,05:07:40,05:07:43
1,2024-01-01 09:00,5,1,05:07:40,05:07:43
19,2024-01-01 08:40,5,4,05:07:40,05:07:43
27,2024-01-01 10:00,5,2,05:07:42,05:07:44
30,2024-01-01 09:00,5,3,05:07:42,05:07:44
37,2024-01-01 10:00,5,5,05:07:43,05:07:45
13,2024-01-01 08:40,4,4,05:07:43,05:07:45
4,2024-01-01 10:00,4,1,05:07:43,05:07:45
28,2024-01-01 09:00,4,3,05:07:44,05:07:47
22,2024-01-01 09:00,4,2,05:07:44,05:07:47
38,2024-01-01 09:00,4,4,05:07:45,05:07:47
3,2024-01-02 08:40,3,1,05:07:45,05:07:48
29,2024-01-01 08:40,4,5,05:07:45,05:07:48
5,2024-01-01 08:00,3,3,05:07:47,05:07:49
14,2024-01-01 10:00,3,4,05:07:47,05:07:49
10,2024-01-01 09:00,3,2,05:07:47,05:07:50
21,2024-01-01 09:00,3,5,05:07:48,05:07:50
17,2024-01-01 10:00,3,1,05:07:48,05:07:50
31,2024-01-01 09:00,3,3,05:07:49,05:07:52
40,2024-01-01 09:00,3,2,05:07:50,05:07:52
36,2024-01-01 10:00,3,4,05:07:49,05:07:52
6,2024-01-01 10:00,2,5,05:07:50,05:07:53
8,2024-01-01 09:00,2,1,05:07:50,05:07:53
16,2024-01-01 10:00,2,3,05:07:52,05:07:54
20,2024-01-01 09:00,2,2,05:07:52,05:07:54
25,2024-01-01 08:00,2,4,05:07:52,05:07:55
32,2024-01-01 09:00,2,5,05:07:53,05:07:55
34,2024-01-01 10:00,2,1,05:07:53,05:07:56
2,2024-01-01 09:00,1,3,05:07:54,05:07:56
7,2024-01-01 10:00,1,2,05:07:54,05:07:57
9,2024-01-01 08:40,1,4,05:07:55,05:07:57
11,2024-01-02 09:00,1,5,05:07:55,05:07:58
18,2024-01-01 09:00,1,1,05:07:56,05:07:58
23,2024-01-01 08:40,1,3,05:07:56,05:07:59
33,2024-01-01 08:40,1,4,05:07:57,05:08:00
24,2024-01-01 10:00,1,2,05:07:57,05:08:00
39,2024-01-02 08:40,1,1,05:07:58,05:08:01
35,2024-01-01 08:00,1,5,05:07:58,05:08:01
