id,fecha_creacion,prioridad,agente,fecha_asignacion,fecha_resolucion
15,2024-01-01 08:00,5,3,23:52:23,23:52:25
19,2024-01-01 08:40,5,4,23:52:23,23:52:25
12,2024-01-01 09:00,5,2,23:52:23,23:52:25
26,2024-01-03 10:00,5,5,23:52:23,23:52:26
1,2024-01-01 09:00,5,1,23:52:23,23:52:26
30,2024-01-01 09:00,5,4,23:52:25,23:52:27
37,2024-01-01 10:00,5,2,23:52:25,23:52:27
4,2024-01-01 10:00,4,5,23:52:26,23:52:28
27,2024-01-01 10:00,5,3,23:52:25,23:52:28
13,2024-01-01 08:40,4,1,23:52:26,23:52:28
22,2024-01-01 09:00,4,4,23:52:27,23:52:30
38,2024-01-01 09:00,4,3,23:52:28,23:52:30
28,2024-01-01 09:00,4,2,23:52:27,23:52:30
29,2024-01-01 08:40,4,5,23:52:28,23:52:30
3,2024-01-02 08:40,3,1,23:52:28,23:52:31
5,2024-01-01 08:00,3,4,23:52:30,23:52:32
14,2024-01-01 10:00,3,2,23:52:30,23:52:32
10,2024-01-01 09:00,3,3,23:52:30,23:52:33
17,2024-01-01 10:00,3,5,23:52:30,23:52:33
21,2024-01-01 09:00,3,1,23:52:31,23:52:33
6,2024-01-01 10:00,2,5,23:52:33,23:52:35
40,2024-01-01 09:00,3,3,23:52:33,23:52:35
36,2024-01-01 10:00,3,2,23:52:32,23:52:35
31,2024-01-01 09:00,3,4,23:52:32,23:52:35
8,2024-01-01 09:00,2,1,23:52:33,23:52:36
16,2024-01-01 10:00,2,5,23:52:35,23:52:37
32,2024-01-01 09:00,2,4,23:52:35,23:52:38
20,2024-01-01 09:00,2,3,23:52:35,23:52:38
25,2024-01-01 08:00,2,2,23:52:35,23:52:38
34,2024-01-01 10:00,2,1,23:52:36,23:52:38
7,2024-01-01 10:00,1,4,23:52:38,23:52:40
2,2024-01-01 09:00,1,5,23:52:37,23:52:40
11,2024-01-02 09:00,1,2,23:52:38,23:52:40
9,2024-01-01 08:40,1,3,23:52:38,23:52:41
18,2024-01-01 09:00,1,1,23:52:38,23:52:41
23,2024-01-01 08:40,1,4,23:52:40,23:52:42
24,2024-01-01 10:00,1,5,23:52:40,23:52:43
35,2024-01-01 08:00,1,3,23:52:41,23:52:43
33,2024-01-01 08:40,1,2,23:52:41,23:52:43
39,2024-01-02 08:40,1,1,23:52:41,23:52:44
