id,fecha_creacion,prioridad,agente,fecha_asignacion,fecha_resolucion
15,2024-01-01 08:00,5,3,05:08:58,05:09:01
12,2024-01-01 09:00,5,2,05:08:58,05:09:01
1,2024-01-01 09:00,5,1,05:08:58,05:09:01
26,2024-01-03 10:00,5,2,05:09:01,05:09:03
19,2024-01-01 08:40,5,3,05:09:01,05:09:03
27,2024-01-01 10:00,5,1,05:09:01,05:09:04
37,2024-01-01 10:00,5,3,05:09:03,05:09:06
30,2024-01-01 09:00,5,2,05:09:03,05:09:06
4,2024-01-01 10:00,4,1,05:09:04,05:09:06
22,2024-01-01 09:00,4,2,05:09:06,05:09:08
13,2024-01-01 08:40,4,3,05:09:06,05:09:09
28,2024-01-01 09:00,4,1,05:09:06,05:09:09
29,2024-01-01 08:40,4,2,05:09:08,05:09:11
3,2024-01-02 08:40,3,1,05:09:09,05:09:11
38,2024-01-01 09:00,4,3,05:09:09,05:09:12
5,2024-01-01 08:00,3,2,05:09:11,05:09:14
10,2024-01-01 09:00,3,1,05:09:11,05:09:14
14,2024-01-01 10:00,3,3,05:09:12,05:09:14
17,2024-01-01 10:00,3,2,05:09:14,05:09:16
21,2024-01-01 09:00,3,1,05:09:14,05:09:16
31,2024-01-01 09:00,3,3,05:09:14,05:09:17
40,2024-01-01 09:00,3,1,05:09:16,05:09:18
36,2024-01-01 10:00,3,2,05:09:16,05:09:18
16,2024-01-01 10:00,2,2,05:09:18,05:09:20
8,2024-01-01 09:00,2,1,05:09:18,05:09:20
6,2024-01-01 10:00,2,3,05:09:17,05:09:20
20,2024-01-01 09:00,2,2,05:09:20,05:09:22
32,2024-01-01 09:00,2,3,05:09:20,05:09:23
25,2024-01-01 08:00,2,1,05:09:20,05:09:23
34,2024-01-01 10:00,2,2,05:09:22,05:09:25
2,2024-01-01 09:00,1,3,05:09:23,05:09:26
7,2024-01-01 10:00,1,1,05:09:23,05:09:26
9,2024-01-01 08:40,1,2,05:09:25,05:09:28
18,2024-01-01 09:00,1,1,05:09:26,05:09:28
11,2024-01-02 09:00,1,3,05:09:26,05:09:28
23,2024-01-01 08:40,1,2,05:09:28,05:09:30
24,2024-01-01 10:00,1,1,05:09:28,05:09:31
33,2024-01-01 08:40,1,3,05:09:28,05:09:31
39,2024-01-02 08:40,1,1,05:09:31,05:09:33
35,2024-01-01 08:00,1,2,05:09:30,05:09:33
