id,fecha_creacion,prioridad,agente,fecha_asignacion,fecha_resolucion
19,2024-01-01 08:40,5,4,05:05:02,05:05:04
30,2024-01-01 09:00,5,7,05:05:02,05:05:04
1,2024-01-01 09:00,5,1,05:05:02,05:05:04
27,2024-01-01 10:00,5,6,05:05:02,05:05:04
15,2024-01-01 08:00,5,3,05:05:02,05:05:04
12,2024-01-01 09:00,5,2,05:05:02,05:05:04
26,2024-01-03 10:00,5,5,05:05:02,05:05:04
13,2024-01-01 08:40,4,1,05:05:04,05:05:06
4,2024-01-01 10:00,4,7,05:05:04,05:05:06
22,2024-01-01 09:00,4,6,05:05:04,05:05:06
37,2024-01-01 10:00,5,4,05:05:04,05:05:06
28,2024-01-01 09:00,4,3,05:05:04,05:05:06
29,2024-01-01 08:40,4,2,05:05:04,05:05:06
38,2024-01-01 09:00,4,5,05:05:04,05:05:07
5,2024-01-01 08:00,3,7,05:05:06,05:05:08
3,2024-01-02 08:40,3,1,05:05:06,05:05:08
21,2024-01-01 09:00,3,2,05:05:06,05:05:09
14,2024-01-01 10:00,3,4,05:05:06,05:05:09
10,2024-01-01 09:00,3,6,05:05:06,05:05:09
17,2024-01-01 10:00,3,3,05:05:06,05:05:09
31,2024-01-01 09:00,3,5,05:05:07,05:05:10
36,2024-01-01 10:00,3,7,05:05:08,05:05:10
40,2024-01-01 09:00,3,1,05:05:08,05:05:11
6,2024-01-01 10:00,2,2,05:05:09,05:05:11
16,2024-01-01 10:00,2,6,05:05:09,05:05:11
20,2024-01-01 09:00,2,3,05:05:09,05:05:11
8,2024-01-01 09:00,2,4,05:05:09,05:05:11
32,2024-01-01 09:00,2,7,05:05:10,05:05:12
25,2024-01-01 08:00,2,5,05:05:10,05:05:12
2,2024-01-01 09:00,1,2,05:05:11,05:05:13
34,2024-01-01 10:00,2,1,05:05:11,05:05:14
9,2024-01-01 08:40,1,3,05:05:11,05:05:14
7,2024-01-01 10:00,1,6,05:05:11,05:05:14
11,2024-01-02 09:00,1,4,05:05:11,05:05:14
18,2024-01-01 09:00,1,7,05:05:12,05:05:14
23,2024-01-01 08:40,1,5,05:05:12,05:05:14
24,2024-01-01 10:00,1,2,05:05:13,05:05:15
35,2024-01-01 08:00,1,3,05:05:14,05:05:16
33,2024-01-01 08:40,1,1,05:05:14,05:05:16
39,2024-01-02 08:40,1,6,05:05:14,05:05:17
